,loss,accuracy,binary_accuracy,dice_score,io_u,binary_io_u,val_loss,val_accuracy,val_binary_accuracy,val_dice_score,val_io_u,val_binary_io_u
326,0.061899758875370026,0.9470430612564087,0.9470430612564087,0.9390146732330322,0.4306532144546509,0.8856936693191528,0.06662854552268982,0.9456329345703125,0.9456329345703125,0.9327747821807861,0.015722522512078285,0.882239818572998
327,0.0644005686044693,0.9465110898017883,0.9465110898017883,0.936356246471405,0.3668879270553589,0.8811009526252747,0.07842143625020981,0.9333961606025696,0.9333961606025696,0.9211583137512207,0.025054490193724632,0.8621242046356201
328,0.06868984550237656,0.9417692422866821,0.9417692422866821,0.932711660861969,0.4361959397792816,0.8738458156585693,0.06399809569120407,0.949047327041626,0.949047327041626,0.9354355931282043,0.015994345769286156,0.8882743120193481
329,0.0657537430524826,0.9444288015365601,0.9444288015365601,0.9350091814994812,0.39294376969337463,0.878325343132019,0.07642187923192978,0.9353296756744385,0.9353296756744385,0.9230958223342896,0.023094825446605682,0.8656772971153259
330,0.06285886466503143,0.946541428565979,0.946541428565979,0.9365897178649902,0.40292271971702576,0.8832342028617859,0.06610298156738281,0.9456919431686401,0.9456919431686401,0.9332934021949768,0.019193455576896667,0.88321453332901
331,0.060552775859832764,0.9480670690536499,0.9480670690536499,0.9384194016456604,0.42671504616737366,0.8871102929115295,0.06376799941062927,0.9479395747184753,0.9479395747184753,0.9356310367584229,0.01992795802652836,0.8873251080513
332,0.06747462600469589,0.9431217312812805,0.9431217312812805,0.9322910904884338,0.3855535686016083,0.8751292824745178,0.06984329223632812,0.941509485244751,0.941509485244751,0.9296140670776367,0.024067912250757217,0.876467764377594
333,0.05954299122095108,0.9494727849960327,0.9494727849960327,0.9405348896980286,0.42176350951194763,0.8892184495925903,0.0667368695139885,0.9447965025901794,0.9447965025901794,0.9327290058135986,0.02129575051367283,0.8818910717964172
334,0.06364233791828156,0.9456075429916382,0.9456075429916382,0.9358755946159363,0.41054049134254456,0.8822180032730103,0.06390707939863205,0.9483108520507812,0.9483108520507812,0.9355906248092651,0.020428964868187904,0.8877628445625305
335,0.06109478324651718,0.9483295679092407,0.9483295679092407,0.9388651847839355,0.3914037048816681,0.8867078423500061,0.06767753511667252,0.9444852471351624,0.9444852471351624,0.9318860173225403,0.022707749158143997,0.8811089396476746
336,0.06345410645008087,0.9460529088973999,0.9460529088973999,0.9366049766540527,0.40567243099212646,0.8823761940002441,0.06468293070793152,0.9474672675132751,0.9474672675132751,0.93482506275177,0.023220324888825417,0.8865062594413757
337,0.06535671651363373,0.9451662302017212,0.9451662302017212,0.9346377849578857,0.4205784201622009,0.8792247772216797,0.06654220074415207,0.9452560544013977,0.9452560544013977,0.9329007863998413,0.025320546701550484,0.8826114535331726
338,0.06564781814813614,0.9442497491836548,0.9442497491836548,0.9330542683601379,0.42326003313064575,0.878600001335144,0.06557054072618484,0.9462977051734924,0.9462977051734924,0.9338614344596863,0.024491896852850914,0.8842659592628479
339,0.06429503858089447,0.9450622797012329,0.9450622797012329,0.9353936314582825,0.42242711782455444,0.8807165622711182,0.06422808766365051,0.9479586482048035,0.9479586482048035,0.9352301359176636,0.022290773689746857,0.8866774439811707
340,0.06199588626623154,0.9484041333198547,0.9484041333198547,0.9386741518974304,0.3993236720561981,0.8852589130401611,0.06763570010662079,0.9444236755371094,0.9444236755371094,0.9319463968276978,0.02906274050474167,0.8811623454093933
341,0.06125255674123764,0.9488542675971985,0.9488542675971985,0.9388737082481384,0.4164790213108063,0.8870709538459778,0.06766602396965027,0.9440020322799683,0.9440020322799683,0.9318413734436035,0.028213340789079666,0.8806862831115723
342,0.06239950656890869,0.9469534158706665,0.9469534158706665,0.9384040832519531,0.4278605580329895,0.8845883011817932,0.06485483050346375,0.9469279050827026,0.9469279050827026,0.934516429901123,0.02285640873014927,0.8852036595344543
343,0.06054718419909477,0.9491866827011108,0.9491866827011108,0.940633237361908,0.40969574451446533,0.8881248235702515,0.06758103519678116,0.9440213441848755,0.9440213441848755,0.9318358898162842,0.028979986906051636,0.8805710673332214
