               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.015741,           0.0074545,                   0,             0.99339,             0.98903,             0.99095,             0.67452,            0.020388,            0.006405,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.014893,           0.0075227,                   0,             0.99119,             0.98684,             0.98651,             0.69366,            0.020095,           0.0064019,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.015719,           0.0077519,                   0,             0.99558,             0.98904,             0.98964,             0.70053,            0.019439,           0.0065859,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.015345,           0.0075307,                   0,             0.99339,             0.98903,             0.99024,             0.69939,            0.019615,           0.0066173,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.015704,           0.0074575,                   0,             0.99339,             0.98904,              0.9867,             0.70035,            0.019331,           0.0064039,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.015195,           0.0075495,                   0,             0.99559,             0.99123,             0.99462,             0.70457,             0.01961,           0.0065732,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.015221,            0.007598,                   0,             0.99338,             0.98684,             0.98914,             0.69861,            0.020318,           0.0064181,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.014805,           0.0071864,                   0,             0.99559,             0.99123,             0.99484,             0.69074,            0.019817,           0.0067333,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.015492,           0.0075012,                   0,             0.99339,             0.98904,             0.99033,             0.68304,            0.020313,            0.006702,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.014693,           0.0075583,                   0,              0.9912,             0.98904,             0.99131,             0.68442,             0.02015,           0.0065501,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.014477,           0.0074981,                   0,             0.99337,             0.98684,             0.98949,              0.6874,             0.01998,            0.006355,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.015487,           0.0075807,                   0,             0.99558,             0.98903,             0.99489,             0.69146,            0.019506,           0.0063545,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.014534,           0.0075344,                   0,             0.99558,             0.98903,             0.99032,             0.69866,            0.019216,           0.0062455,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.013881,           0.0071802,                   0,             0.99118,             0.98684,             0.98768,             0.70952,            0.019671,           0.0065372,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.014308,           0.0074247,                   0,             0.99336,             0.98465,             0.98718,             0.69249,             0.02003,           0.0066891,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.014496,            0.007525,                   0,             0.99336,             0.98899,              0.9935,             0.69414,            0.020242,            0.006701,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.014599,           0.0072562,                   0,             0.99339,             0.98903,             0.99008,             0.68749,            0.021417,           0.0065535,                   0,            0.006931,            0.006931,            0.006931
                  95,             0.01505,           0.0074769,                   0,             0.99339,             0.98904,              0.9899,              0.7041,            0.020229,           0.0063892,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.014966,           0.0073077,                   0,             0.99558,             0.98904,             0.98689,             0.69562,            0.019463,           0.0065282,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.014205,           0.0072502,                   0,             0.99339,             0.98901,             0.98857,             0.68626,            0.020838,           0.0066027,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.014094,           0.0070473,                   0,             0.99119,             0.98684,             0.98685,             0.68457,            0.020469,           0.0068296,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.014278,            0.007143,                   0,             0.99109,             0.97802,             0.98735,             0.68178,            0.021224,           0.0067896,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.014097,            0.006996,                   0,             0.99338,             0.98904,             0.99487,             0.69629,            0.020412,           0.0066723,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.014506,           0.0074146,                   0,             0.99558,             0.98904,             0.98743,             0.69903,            0.019437,            0.006537,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.013992,           0.0071065,                   0,             0.99558,             0.98903,             0.98633,             0.69528,            0.020211,           0.0066021,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.013793,           0.0070354,                   0,             0.99339,             0.98904,             0.98792,             0.70324,            0.019387,           0.0066032,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.013794,           0.0071112,                   0,             0.99339,             0.98903,             0.98744,             0.69414,             0.01984,           0.0067129,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.013335,           0.0069778,                   0,             0.99558,             0.99339,             0.99415,             0.69475,            0.020097,           0.0066997,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.013609,            0.007119,                   0,             0.99778,             0.99123,             0.99496,             0.69193,            0.019904,           0.0064374,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.013432,           0.0068271,                   0,             0.99558,             0.99339,             0.99493,             0.70179,            0.019523,           0.0067378,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.013425,           0.0070009,                   0,             0.99779,             0.99339,             0.99496,             0.68497,            0.019995,           0.0069274,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.013692,           0.0071947,                   0,             0.99779,             0.99122,             0.99498,             0.70255,            0.019541,           0.0066176,                   0,            0.006436,            0.006436,            0.006436
                 110,             0.01376,           0.0069761,                   0,             0.99772,             0.96689,             0.98175,             0.67738,            0.022221,           0.0085963,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.013863,           0.0068065,                   0,             0.99339,             0.98904,              0.9886,             0.69346,            0.020149,           0.0069889,                   0,             0.00637,             0.00637,             0.00637
                 112,             0.01308,           0.0069652,                   0,             0.99339,             0.98904,             0.98982,              0.6882,            0.020243,           0.0068604,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.013546,            0.006905,                   0,             0.99338,             0.98684,             0.98831,             0.68925,            0.020792,           0.0065335,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.013349,            0.006837,                   0,             0.99339,             0.98904,             0.98998,             0.69953,            0.020105,           0.0071969,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.013063,           0.0068995,                   0,             0.99558,             0.98904,             0.99109,             0.69599,            0.019982,           0.0067358,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.013254,           0.0068019,                   0,             0.99339,             0.98904,             0.98583,             0.69017,            0.020089,           0.0068221,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.012686,           0.0065852,                   0,             0.99559,             0.99123,             0.99469,             0.69337,            0.019944,           0.0069858,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.01323,             0.00681,                   0,             0.99559,             0.99123,             0.99487,             0.69123,            0.019856,           0.0070383,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.013521,           0.0069296,                   0,             0.99119,             0.98684,              0.9867,             0.69678,            0.020055,           0.0070135,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.012828,           0.0066892,                   0,             0.99778,             0.98904,             0.98673,             0.69401,            0.019535,            0.006848,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.012326,           0.0064433,                   0,             0.99558,             0.98901,             0.98829,              0.6911,            0.019713,           0.0072882,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.012798,           0.0065394,                   0,             0.99558,             0.98903,             0.98769,             0.70445,            0.019816,           0.0067587,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.012627,           0.0066158,                   0,             0.99339,             0.98904,             0.98741,             0.69623,            0.019518,           0.0070765,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.012855,            0.006673,                   0,             0.99557,             0.98684,             0.98777,             0.69766,            0.020022,            0.007079,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.013023,           0.0067147,                   0,             0.99339,             0.98904,             0.98663,             0.69627,            0.019933,           0.0069502,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.012565,           0.0066455,                   0,             0.99339,             0.98904,             0.98578,             0.68711,            0.019748,           0.0070409,                   0,            0.005875,            0.005875,            0.005875
                 127,             0.01256,           0.0065349,                   0,             0.99556,             0.98904,             0.98671,              0.7066,            0.019634,           0.0066522,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.012205,           0.0066571,                   0,             0.99558,             0.98684,             0.98651,             0.70002,             0.01994,           0.0072047,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.012359,           0.0064613,                   0,             0.99558,             0.98904,             0.98663,             0.69152,            0.019686,           0.0069904,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.012379,            0.006435,                   0,             0.99338,             0.99118,             0.99368,             0.70484,            0.019633,           0.0072303,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.011986,           0.0065112,                   0,             0.99559,             0.99123,             0.99493,             0.69494,            0.019865,           0.0070664,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.012209,           0.0065119,                   0,             0.99557,             0.98684,             0.98814,             0.68487,            0.020523,           0.0077055,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.011799,           0.0065292,                   0,             0.99339,             0.99339,             0.99362,             0.69797,            0.019949,           0.0071016,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.011643,           0.0063507,                   0,             0.99558,             0.99339,             0.99268,              0.6976,            0.019945,           0.0071719,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.012199,           0.0065647,                   0,             0.99559,             0.99559,             0.99491,             0.69883,            0.020061,           0.0069911,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.012396,           0.0064236,                   0,             0.99339,             0.99778,             0.99424,             0.69752,            0.019914,           0.0073105,                   0,            0.005545,            0.005545,            0.005545
                 137,              0.0123,           0.0064508,                   0,             0.99339,             0.98903,             0.99091,             0.70439,            0.019926,           0.0072905,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.012017,           0.0063636,                   0,             0.99559,             0.99558,               0.995,             0.71335,            0.019118,           0.0070617,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.012426,           0.0064441,                   0,              0.9934,             0.99123,             0.99465,              0.7085,            0.019284,           0.0069938,                   0,            0.005446,            0.005446,            0.005446
                 140,             0.01222,           0.0065422,                   0,             0.99339,             0.98903,             0.98713,             0.69283,            0.020011,           0.0072178,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.012103,           0.0063427,                   0,             0.99339,             0.99339,             0.99484,             0.68919,            0.019842,           0.0077612,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.012195,           0.0065206,                   0,              0.9934,             0.99559,             0.99482,             0.70546,            0.019703,           0.0072813,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.011632,           0.0061621,                   0,             0.99338,             0.98684,             0.98761,             0.70061,            0.019618,           0.0073921,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.011791,           0.0063661,                   0,             0.99559,             0.99123,             0.99462,             0.69153,            0.020048,           0.0072018,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.012066,           0.0060035,                   0,             0.99339,             0.99339,              0.9948,             0.70796,            0.019371,            0.007332,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.011478,           0.0063076,                   0,             0.99339,             0.98904,             0.98871,             0.70856,            0.019178,           0.0071685,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.011789,           0.0060662,                   0,             0.99339,             0.98903,             0.98751,             0.69507,            0.020067,           0.0073101,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.011681,           0.0062271,                   0,             0.99339,             0.98903,             0.98799,              0.7057,             0.01934,           0.0073644,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.011368,           0.0060879,                   0,             0.99121,             0.98903,             0.98709,             0.69765,            0.020095,           0.0075139,                   0,            0.005116,            0.005116,            0.005116
                 150,             0.01176,           0.0061755,                   0,             0.99557,             0.98684,             0.99171,             0.70676,             0.01947,           0.0070132,                   0,            0.005083,            0.005083,            0.005083
                 151,             0.01109,           0.0061998,                   0,             0.99337,             0.98684,             0.99028,             0.70222,            0.019794,           0.0073117,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.011332,           0.0060524,                   0,             0.99558,             0.98684,             0.98788,             0.70623,             0.01972,           0.0075667,                   0,            0.005017,            0.005017,            0.005017
